HEX1	Glycolysis
G6PPer	Glycolysis
PGI	Glycolysis
PFK	Glycolysis
FBP	Glycolysis
FBA	Glycolysis
TPI	Glycolysis
GAPD	
PGK	Glycolysis
PGM	Glycolysis
ENO	
PYK	
r0122	
PEPCK	Glycolysis
LDH_L	Glycolysis
G6PDH2r	
PGL	Pentose Phosphate Pathway
GND	Pentose Phosphate Pathway
RPI	Pentose Phosphate Pathway
RPE	Pentose Phosphate Pathway
TKT1	Pentose Phosphate Pathway
TALA	Pentose Phosphate Pathway
TKT2	Pentose Phosphate Pathway
PDHm	Pyruvate Metabolism	Tricarboxylic Acid Cycle
CSm	Tricarboxylic Acid Cycle
ACONTm	Tricarboxylic Acid Cycle
ICDHxm	Tricarboxylic Acid Cycle
ICDHyrm	Tricarboxylic Acid Cycle
AKGDm	Tricarboxylic Acid Cycle
SUCOAS1m	Tricarboxylic Acid Cycle
SUCOASm	Tricarboxylic Acid Cycle
FUMm	Tricarboxylic Acid Cycle
MDHm	Tricarboxylic Acid Cycle
CI_mitoMap	Oxidative Phosphorylation (mt)	Oxidative Phosphorylation
CII_mitoMap	Oxidative Phosphorylation
CIII_mitoMap	Oxidative Phosphorylation (mt)	Oxidative Phosphorylation
CIV_mitoMap	Oxidative Phosphorylation (mt)	Oxidative Phosphorylation
CV_mitoMap	Oxidative Phosphorylation (mt)	Oxidative Phosphorylation
PEPCKm	Pyruvate Metabolism
PCm	Amino Acid Metabolism
ME2m	Pyruvate Metabolism
ME1m	Pyruvate Metabolism
r0081	Amino Acid Metabolism
ACITLm_mitoMap	
NDPK1m	Replication & Transcription
NNT_mitoMap	
ADK1m	Nucleotide Metabolism
ME2	Pyruvate Metabolism
ALATA_L	
NDPK1	Replication & Transcription	Nucleotide Metabolism
FUM	Tricarboxylic Acid Cycle
ADK1	
ICDHy	Tricarboxylic Acid Cycle
ACONT	
ACITL	
ASPTA	Fatty Acid Degradation and Beta-oxidation
MDH	Tricarboxylic Acid Cycle
AKGMALtm	Mitochondrial Carrier
ASPGLUmB_mitoMap	Calcium Signaling & Transport
ASPTAm	Amino Acid Metabolism
G3PD1	Oxidative Phosphorylation
r0205	Oxidative Phosphorylation
FACOAL160i	Fatty Acid Degradation and Beta-oxidation	Fatty Acid Biosynthesis and Elongation
C160CPT1	Fatty Acid Degradation and Beta-oxidation
PPA	
r2435	Fatty Acid Metabolism
C160CPT2	Fatty Acid Degradation and Beta-oxidation
PPAm	Translation
ACOT2_mitoMap	Fatty Acid Biosynthesis and Elongation
ACADLC16_mitoMap	Fatty Acid Degradation and Beta-oxidation	Oxidative Phosphorylation
MECR16C_mitoMap	Fatty Acid Biosynthesis and Elongation
MTPC16_mitoMap	Fatty Acid Degradation and Beta-oxidation
ACADLC14_mitoMap	Fatty Acid Degradation and Beta-oxidation	Oxidative Phosphorylation
